,name,gender,race,born_locate,born_year,education,working_year,if_ccp,join_year,current_post,next_post,current_post_year,next_post_year
1200,刘旸,1,汉族,吉林,1967,2,1994,1,1988,10,11,2004,2018
1201,韩立明,0,汉族,江苏,1964,2,1984,1,1986,8,9,1989,1994
1202,王立科,1,满族,山东,1964,2,1980,1,1984,2,6,1987,1999
1203,王立科,1,满族,山东,1964,2,1980,1,1984,6,7,1999,2004
1204,王立科,1,满族,山东,1964,2,1980,1,1984,7,9,2004,2007
1205,王立科,1,满族,山东,1964,2,1980,1,1984,9,11,2007,2013
1206,许继伟,1,汉族,安徽,1964,2,1985,1,1985,4,7,1990,1993
1207,许继伟,1,汉族,安徽,1964,2,1985,1,1985,7,9,1993,2003
1208,任泽锋,1,汉族,,1966,1,1990,1,1986,2,7,1996,1997
1209,任泽锋,1,汉族,,1966,1,1990,1,1986,7,9,1997,2003
1210,任泽锋,1,汉族,,1966,1,1990,1,1986,9,10,2003,2007
1211,任泽锋,1,汉族,,1966,1,1990,1,1986,10,11,2007,2008
1212,周喜安,1,汉族,河南,1963,3,1988,1,,2,8,1992,1994
1213,周喜安,1,汉族,河南,1963,3,1988,1,,8,9,1994,2002
1214,周喜安,1,汉族,河南,1963,3,1988,1,,9,11,2002,2018
1215,张祥安,1,汉族,安徽,1964,2,1985,1,1984,6,7,1989,1992
1216,张祥安,1,汉族,安徽,1964,2,1985,1,1984,7,9,1992,2002
1217,孔晓宏,1,汉族,安徽,1966,2,1989,1,1989,2,7,1993,1996
1218,孔晓宏,1,汉族,安徽,1966,2,1989,1,1989,7,8,1996,2000
1219,孔晓宏,1,汉族,安徽,1966,2,1989,1,1989,8,9,2000,2003
1220,孔晓宏,1,汉族,安徽,1966,2,1989,1,1989,9,11,2003,2008
1221,操龙灿,1,汉族,安徽,1965,3,1986,1,1986,7,10,1997,2007
1222,操龙灿,1,汉族,安徽,1965,3,1986,1,1986,10,11,2007,2016
1223,信长星,1,汉族,山东,1963,0,,0,,5,8,1989,1991
1224,信长星,1,汉族,山东,1963,0,,0,,8,9,1991,1998
1225,信长星,1,汉族,山东,1963,0,,0,,9,11,1998,2010
1226,李锦斌,1,汉族,四川,1958,3,1974,1,1978,7,8,1984,1991
1227,李锦斌,1,汉族,四川,1958,3,1974,1,1978,8,9,1991,1992
1228,李锦斌,1,汉族,四川,1958,3,1974,1,1978,9,11,1992,2002
1229,张曙光,1,汉族,安徽,,2,,0,,9,11,1997,2016
1230,孙云飞,1,汉族,,1962,2,1984,1,1986,1,7,1984,1993
1231,孙云飞,1,汉族,,1962,2,1984,1,1986,7,9,1993,2001
1232,孙云飞,1,汉族,,1962,2,1984,1,1986,9,11,2001,2016
1233,邓向阳,1,汉族,山东,1961,1,1982,1,1985,9,11,1987,2013
1234,陶方启,1,汉族,安徽,1962,2,1981,1,1982,7,9,1982,2004
1235,陶方启,1,汉族,安徽,1962,2,1981,1,1982,9,10,2004,2016
1236,贺懋燮,1,汉族,,1963,2,1984,1,1984,7,9,1990,2002
1237,贺懋燮,1,汉族,,1963,2,1984,1,1984,9,11,2002,2010
1238,潘朝晖,1,汉族,安徽,1968,2,1986,1,1986,6,7,1994,1996
1239,潘朝晖,1,汉族,安徽,1968,2,1986,1,1986,7,9,1996,1996
1240,潘朝晖,1,汉族,安徽,1968,2,1986,1,1986,9,11,1996,2002
1241,史翔,1,汉族,安徽,1963,2,1982,1,1989,1,3,1982,1990
1242,史翔,1,汉族,安徽,1963,2,1982,1,1989,3,5,1990,1992
1243,史翔,1,汉族,安徽,1963,2,1982,1,1989,5,6,1992,1996
1244,史翔,1,汉族,安徽,1963,2,1982,1,1989,6,11,1996,2005
1245,虞爱华,1,汉族,安徽,1965,2,1989,1,1988,8,11,1989,1996
1246,杨军,1,汉族,吉林,1965,3,,1,1987,4,7,1995,1997
1247,杨军,1,汉族,吉林,1965,3,,1,1987,7,9,1997,2007
1248,杨光荣,1,汉族,湖南,1962,2,1989,1,1985,7,9,1994,2006
1249,杨光荣,1,汉族,湖南,1962,2,1989,1,1985,9,11,2006,2016
1250,戴启远,1,汉族,安徽,1963,2,1982,1,1989,1,6,1983,1986
1251,戴启远,1,汉族,安徽,1963,2,1982,1,1989,6,7,1986,1995
1252,戴启远,1,汉族,安徽,1963,2,1982,1,1989,7,9,1995,1996
1253,虞爱华,1,汉族,安徽,1965,2,1989,1,1988,8,11,1989,1996
1254,孙云飞,1,汉族,,1962,2,1984,1,1986,1,7,1984,1993
1255,孙云飞,1,汉族,,1962,2,1984,1,1986,7,9,1993,2001
1256,孙云飞,1,汉族,,1962,2,1984,1,1986,9,11,2001,2016
1257,黄晓武,1,汉族,安徽,1965,2,1983,1,1986,2,6,1987,1991
1258,黄晓武,1,汉族,安徽,1965,2,1983,1,1986,6,7,1991,1998
1259,黄晓武,1,汉族,安徽,1965,2,1983,1,1986,7,8,1998,2001
1260,黄晓武,1,汉族,安徽,1965,2,1983,1,1986,8,11,2001,2008
1261,李国英,1,汉族,河南,1963,3,1984,1,1988,7,11,1987,1997
1262,邓向阳,1,汉族,山东,1961,1,1982,1,1985,9,11,1987,2013
1263,杨光荣,1,汉族,湖南,1962,2,1989,1,1985,7,9,1994,2006
1264,杨光荣,1,汉族,湖南,1962,2,1989,1,1985,9,11,2006,2016
1265,胡启生,1,汉族,安徽,1971,3,1993,1,1992,2,9,1993,1996
1266,胡启生,1,汉族,安徽,1971,3,1993,1,1992,9,10,1996,2001
1267,孙正东,1,汉族,安徽,1963,0,1981,0,,7,9,1991,2003
1268,孙正东,1,汉族,安徽,1963,0,1981,0,,9,11,2003,2012
1269,安征宇,1,汉族,河北,1963,2,1981,1,1985,3,5,1994,1996
1270,安征宇,1,汉族,河北,1963,2,1981,1,1985,5,7,1996,2000
1271,安征宇,1,汉族,河北,1963,2,1981,1,1985,7,8,2000,2001
1272,安征宇,1,汉族,河北,1963,2,1981,1,1985,8,9,2001,2004
1273,安征宇,1,汉族,河北,1963,2,1981,1,1985,9,10,2004,2011
1274,雪克来提·扎克尔,1,维吾尔族,,1953,2,1970,1,1985,3,7,1984,1988
1275,雪克来提·扎克尔,1,维吾尔族,,1953,2,1970,1,1985,7,9,1988,2000
1276,雪克来提·扎克尔,1,维吾尔族,,1953,2,1970,1,1985,9,12,2000,2011
1277,库尔玛什·斯尔江,1,哈萨克族,新疆,1959,2,1984,1,1984,3,7,1991,1996
1278,库尔玛什·斯尔江,1,哈萨克族,新疆,1959,2,1984,1,1984,7,11,1996,2008
1279,李邑飞,1,汉族,云南,1964,2,1985,1,1984,10,11,1986,2012
1280,李成辉,1,汉族,甘肃,1968,1,1988,1,1997,5,7,1996,2001
1281,李成辉,1,汉族,甘肃,1968,1,1988,1,1997,7,9,2001,2005
1282,薛斌,1,汉族,陕西,1966,1,1987,1,1998,5,7,1994,1995
1283,薛斌,1,汉族,陕西,1966,1,1987,1,1998,7,9,1995,2016
1284,木合亚提·加尔木哈买提,1,哈萨克族,新疆,1968,2,1986,1,1992,5,7,1993,1999
1285,李鹏新,1,汉族,山西,1960,2,1977,1,1984,10,11,1983,1990
1286,买买提明·卡德,1,维吾尔族,新疆,1965,1,1984,1,1989,7,10,1993,2013
1287,彭家瑞,1,汉族,甘肃,1961,1,1981,1,1983,4,7,1990,1992
1288,吉尔拉•衣沙木丁,1,维吾尔族,新疆,1962,2,1980,1,1986,6,7,1982,1988
1289,吉尔拉•衣沙木丁,1,维吾尔族,新疆,1962,2,1980,1,1986,7,9,1988,1992
1290,艾尔肯·吐尼亚孜,1,维吾尔族,新疆,1961,2,1983,1,1983,7,11,1991,1999
1291,张文胜,1,汉族,河南,1968,2,1990,1,1989,5,10,1994,1995
1292,金之镇,1,回族,江苏,1970,2,1991,1,1991,1,2,1991,1994
1293,金之镇,1,回族,江苏,1970,2,1991,1,1991,2,3,1994,1997
1294,金之镇,1,回族,江苏,1970,2,1991,1,1991,3,7,1997,2001
1295,金之镇,1,回族,江苏,1970,2,1991,1,1991,7,9,2001,2005
1296,王国和,1,汉族,河南,1965,2,1986,1,1986,8,9,1990,2008
1297,沙尔合提·阿汗,1,哈萨克族,新疆,1961,2,1981,1,1987,6,7,1985,1988
1298,沙尔合提·阿汗,1,哈萨克族,新疆,1961,2,1981,1,1987,7,11,1988,1996
1299,徐海荣,1,汉族,,1964,2,1985,1,1984,8,9,1990,1996
1300,徐海荣,1,汉族,,1964,2,1985,1,1984,9,11,1996,2012
1301,艾尔肯·吐尼亚孜,1,维吾尔族,新疆,1961,2,1983,1,1983,7,11,1991,1999
1302,王君正,1,汉族,山东,1963,3,,0,,2,11,1988,1993
1303,巴德玛拉,1,蒙古族,新疆,1961,1,1984,1,1993,6,9,1984,1994
1304,巴德玛拉,1,蒙古族,新疆,1961,1,1984,1,1993,9,11,1994,1996
1305,徐海荣,1,汉族,,1964,2,1985,1,1984,8,9,1990,1996
1306,徐海荣,1,汉族,,1964,2,1985,1,1984,9,11,1996,2012
1307,赵青,1,汉族,山东,1961,1,1983,1,1989,4,5,1993,1994
1308,赵青,1,汉族,山东,1961,1,1983,1,1989,5,9,1994,1998
1309,赵文泉,1,汉族,安徽,1963,1,1986,1,1994,2,7,1986,1991
1310,赵文泉,1,汉族,安徽,1963,1,1986,1,1994,7,10,1991,1995
1311,马坚,1,汉族,山西,1972,1,,0,,3,7,1996,2002
1312,马坚,1,汉族,山西,1972,1,,0,,7,10,2002,2016
1313,贺志亮,1,汉族,,1970,2,1995,1,1996,9,11,2015,2017
1314,王凯,1,汉族,河南,1962,3,,0,,8,9,1983,2002
1315,王凯,1,汉族,河南,1962,3,,0,,9,11,2002,2017
1316,王子联,1,汉族,,1968,0,,1,,4,7,1996,2000
1317,王子联,1,汉族,,1968,0,,1,,7,10,2000,2009
1318,吴靖平,1,汉族,安徽,1963,3,1984,1,1984,9,11,1992,2001
1319,李悦,0,满族,吉林,1962,2,1984,1,,10,11,1990,1994
1320,巴音朝鲁,1,蒙古族,内蒙古,1955,2,,0,,7,11,1991,1998
1321,李景浩,1,朝鲜族,吉林,1960,2,,0,,2,7,1983,1985
1322,李景浩,1,朝鲜族,吉林,1960,2,,0,,7,9,1985,1993
1323,李景浩,1,朝鲜族,吉林,1960,2,,0,,9,11,1993,2017
1324,柴伟,1,汉族,吉林,1964,2,1987,1,1986,6,9,2001,2004
1325,田锦尘,1,汉族,,1963,1,1985,1,1983,7,11,1994,2017
1326,阿东,1,回族,辽宁,1970,3,1997,1,1996,2,6,1998,2000
1327,阿东,1,回族,辽宁,1970,3,1997,1,1996,6,9,2000,2004
1328,阿东,1,回族,辽宁,1970,3,1997,1,1996,9,11,2004,2020
1329,王晓萍,0,汉族,湖北,1964,2,,0,,7,11,1996,2017
1330,王凯,1,汉族,河南,1962,3,,0,,8,9,1983,2002
1331,王凯,1,汉族,河南,1962,3,,0,,9,11,2002,2017
1332,胡斌,1,汉族,江西,1976,0,1998,1,1997,2,7,1998,2002
1333,胡斌,1,汉族,江西,1976,0,1998,1,1997,7,10,2002,2015
1334,吴靖平,1,汉族,安徽,1963,3,1984,1,1984,9,11,1992,2001
1335,胡家福,1,汉族,山东,1967,1,1990,1,1993,2,3,1991,1992
1336,胡家福,1,汉族,山东,1967,1,1990,1,1993,3,7,1992,1994
1337,胡家福,1,汉族,山东,1967,1,1990,1,1993,7,10,1994,2000
1338,胡家福,1,汉族,山东,1967,1,1990,1,1993,10,11,2000,2018
1339,蔡东,1,,,1968,3,,0,,7,11,2000,2019
1340,郭灵计,1,汉族,山西,1968,0,1998,1,,7,10,2000,2004
1341,于强,1,汉族,,1967,0,,1,,7,10,2000,2001
1342,于强,1,汉族,,1967,0,,1,,10,11,2001,2010
1343,侯淅珉,1,汉族,河南,1963,2,1987,1,,7,9,1992,2010
1344,侯淅珉,1,汉族,河南,1963,2,1987,1,,9,10,2010,2017
1345,侯淅珉,1,汉族,河南,1963,2,1987,1,,10,11,2017,2017
1346,金寿浩,1,朝鲜族,吉林,1962,2,1979,1,1984,5,7,1990,1999
1347,金寿浩,1,朝鲜族,吉林,1962,2,1979,1,1984,7,9,1999,2001
1348,袁桐利,1,汉族,天津,1961,2,1980,1,1985,8,10,1983,1986
1349,袁桐利,1,汉族,天津,1961,2,1980,1,1985,10,11,1986,2012
1350,梅世彤,1,汉族,河北,1969,2,1992,1,1990,10,11,1992,1995
1351,郭建英,1,汉族,,1962,2,1983,1,1983,8,9,1993,1994
1352,回建,1,回族,河北,1961,3,1981,1,1982,8,9,1988,1991
1353,回建,1,回族,河北,1961,3,1981,1,1982,9,10,1991,1999
1354,回建,1,回族,河北,1961,3,1981,1,1982,10,11,1999,2014
1355,张古江,1,汉族,天津,1963,2,1982,1,1984,10,11,1992,1997
1356,袁桐利,1,汉族,天津,1961,2,1980,1,1985,8,10,1983,1986
1357,袁桐利,1,汉族,天津,1961,2,1980,1,1985,10,11,1986,2012
1358,邢国辉,1,汉族,,1961,2,1976,1,1984,6,7,1978,1991
1359,邢国辉,1,汉族,,1961,2,1976,1,1984,7,8,1991,2012
1360,邢国辉,1,汉族,,1961,2,1976,1,1984,8,9,2012,2015
1361,邢国辉,1,汉族,,1961,2,1976,1,1984,9,11,2015,2016
1362,焦彦龙,1,汉族,,1960,2,1982,1,1986,9,11,1996,2000
1363,刘爽,1,汉族,辽宁,1969,2,1986,1,1988,2,7,1996,2000
1364,刘爽,1,汉族,辽宁,1969,2,1986,1,1988,7,8,2000,2002
1365,刘爽,1,汉族,辽宁,1969,2,1986,1,1988,8,9,2002,2013
1366,刘爽,1,汉族,辽宁,1969,2,1986,1,1988,9,10,2013,2016
1367,刘爽,1,汉族,辽宁,1969,2,1986,1,1988,10,11,2016,2017
1368,高宏志,1,汉族,河北,1967,2,1986,1,1990,1,10,1986,1992
1369,高宏志,1,汉族,河北,1967,2,1986,1,1990,10,11,1992,1995
1370,周仲明,1,汉族,,1963,2,1984,1,1984,2,7,1988,1992
1371,周仲明,1,汉族,,1963,2,1984,1,1984,7,9,1992,1998
1372,周仲明,1,汉族,,1963,2,1984,1,1984,9,10,1998,2012
1373,周仲明,1,汉族,,1963,2,1984,1,1984,10,12,2012,2018
1374,赵一德,1,汉族,浙江,1965,2,1983,1,1985,6,7,1987,1991
1375,赵一德,1,汉族,浙江,1965,2,1983,1,1985,7,11,1991,1994
1376,高志立,1,汉族,,1962,2,1984,1,1990,3,9,1989,1995
1377,高志立,1,汉族,,1962,2,1984,1,1990,9,11,1995,2016
1378,冯韶慧,1,汉族,河北,1965,2,1985,1,1984,10,11,1987,1996
1379,邢国辉,1,汉族,,1961,2,1976,1,1984,6,7,1978,1991
1380,邢国辉,1,汉族,,1961,2,1976,1,1984,7,8,1991,2012
1381,邢国辉,1,汉族,,1961,2,1976,1,1984,8,9,2012,2015
1382,邢国辉,1,汉族,,1961,2,1976,1,1984,9,11,2015,2016
1383,夏延军,0,汉族,,1963,2,1982,1,1987,10,11,1982,2018
1384,董晓宇,1,汉族,河北,1969,2,1987,1,1992,4,7,1989,1994
1385,董晓宇,1,汉族,河北,1969,2,1987,1,1992,7,9,1994,2006
1386,丁绣峰,1,汉族,河北,1965,2,1981,1,1984,10,11,1987,1995
1387,田军,1,汉族,山西,1970,3,1992,1,1990,3,8,1999,2008
1388,田军,1,汉族,山西,1970,3,1992,1,1990,8,10,2008,2012
1389,钱三雄,1,汉族,浙江,1967,1,1990,1,1988,6,7,1992,2000
1390,钱三雄,1,汉族,浙江,1967,1,1990,1,1988,7,9,2000,2009
1391,王东群,1,汉族,,1963,1,1980,1,1993,7,9,2000,2009
1392,冉万祥,1,汉族,甘肃,1963,1,1985,1,1985,10,11,1985,2012
1393,董仚生,1,汉族,江西,1962,2,1984,1,1984,5,7,1984,1985
1394,董仚生,1,汉族,江西,1962,2,1984,1,1984,7,9,1985,1992
1395,董仚生,1,汉族,江西,1962,2,1984,1,1984,9,11,1992,2013
1396,梁田庚,1,汉族,广东,1960,3,1976,1,1983,2,7,1989,1992
1397,梁田庚,1,汉族,广东,1960,3,1976,1,1983,7,9,1992,1998
1398,梁田庚,1,汉族,广东,1960,3,1976,1,1983,9,11,1998,2014
1399,邓沛然,1,汉族,,1963,3,1980,1,1984,4,9,1988,2007
1400,许勤,1,汉族,江苏,1961,3,1982,1,1982,6,9,1997,2008
1401,许勤,1,汉族,江苏,1961,3,1982,1,1982,9,11,2008,2016
1402,吴晓华,1,汉族,安徽,1965,2,1983,1,1986,3,7,1995,1998
1403,吴晓华,1,汉族,安徽,1965,2,1983,1,1986,7,11,1998,2008
1404,刘凯,1,汉族,安徽,1969,1,1991,1,1994,4,12,1992,1995
1405,张古江,1,汉族,天津,1963,2,1982,1,1984,10,11,1992,1997
1406,王东峰,1,汉族,陕西,1958,2,1981,1,1980,9,11,1987,2013
1407,张涛,1,汉族,,1971,3,1994,1,1992,3,4,1999,1999
1408,张涛,1,汉族,,1971,3,1994,1,1992,4,7,1999,2002
1409,张涛,1,汉族,,1971,3,1994,1,1992,7,9,2002,2005
1410,武卫东,1,汉族,河北,1969,2,1989,1,1991,2,8,1992,1993
1411,武卫东,1,汉族,河北,1969,2,1989,1,1991,8,9,1993,1996
1412,徐文光,1,汉族,浙江,1968,2,1990,1,,7,9,1996,2000
1413,周江勇,1,汉族,浙江,1967,0,,0,,7,9,2001,2012
1414,周江勇,1,汉族,浙江,1967,0,,0,,9,11,2012,2017
1415,刘忻,1,汉族,陕西,1965,3,1987,1,1991,5,7,1993,1995
1416,刘忻,1,汉族,陕西,1965,3,1987,1,1991,7,9,1995,2012
1417,刘忻,1,汉族,陕西,1965,3,1987,1,1991,9,11,2012,2018
1418,何中伟,1,汉族,河北,1970,3,1993,1,,5,11,1993,2000
1419,俞东来,1,汉族,浙江,1963,1,1981,1,1986,6,7,1988,1993
1420,俞东来,1,汉族,浙江,1963,1,1981,1,1986,7,10,1993,2011
1421,刘小涛,1,汉族,广东,1970,2,1992,1,1991,2,9,1992,2000
1422,刘小涛,1,汉族,广东,1970,2,1992,1,1991,9,10,2000,2019
1423,刘小涛,1,汉族,广东,1970,2,1992,1,1991,10,11,2019,2020
1424,高兴夫,1,汉族,浙江,1963,0,,0,,6,11,1991,2016
1425,黄建发,1,汉族,福建,1965,2,1987,1,1987,2,7,1992,1994
1426,黄建发,1,汉族,福建,1965,2,1987,1,1987,7,9,1994,2010
1427,黄建发,1,汉族,福建,1965,2,1987,1,1987,9,11,2010,2015
1428,冯飞,1,汉族,江西,1962,0,,0,,8,11,1995,2000
1429,周江勇,1,汉族,浙江,1967,0,,0,,7,9,2001,2012
1430,周江勇,1,汉族,浙江,1967,0,,0,,9,11,2012,2017
1431,陈奕君,0,汉族,浙江,1967,2,1989,1,1985,7,9,1993,1995
1432,陈奕君,0,汉族,浙江,1967,2,1989,1,1985,9,11,1995,2019
1433,冯飞,1,汉族,江西,1962,0,,0,,8,11,1995,2000
1434,车俊,1,汉族,安徽,1955,0,,0,,10,11,1973,2001
1435,王嘉毅,1,汉族,宁夏,1965,3,1991,1,1985,7,8,1994,2012
1436,王嘉毅,1,汉族,宁夏,1965,3,1991,1,1985,8,11,2012,2017
1437,俞成辉,1,汉族,甘肃,1962,0,1979,1,1994,6,8,1990,2000
1438,俞成辉,1,汉族,甘肃,1962,0,1979,1,1994,8,9,2000,2001
1439,俞成辉,1,汉族,甘肃,1962,0,1979,1,1994,9,12,2001,2018
1440,李沛兴,1,汉族,甘肃,1964,2,1986,1,1992,5,10,1995,2014
1441,李沛兴,1,汉族,甘肃,1964,2,1986,1,1992,10,11,2014,2018
1442,李荣灿,1,汉族,浙江,1966,2,1989,1,1987,3,7,1993,1995
1443,李荣灿,1,汉族,浙江,1966,2,1989,1,1987,7,10,1995,2009
1444,李荣灿,1,汉族,浙江,1966,2,1989,1,1987,10,11,2009,2011
1445,李荣灿,1,汉族,浙江,1966,2,1989,1,1987,3,7,1993,1995
1446,李荣灿,1,汉族,浙江,1966,2,1989,1,1987,7,10,1995,2009
1447,李荣灿,1,汉族,浙江,1966,2,1989,1,1987,10,11,2009,2011
1448,赵凌云,1,藏族,甘肃,1966,2,,1,,8,10,1989,1992
1449,郭鹤立,1,汉族,甘肃,1964,2,1986,1,1991,8,9,1990,2005
1450,崔景瑜,1,汉族,辽宁,1963,2,,1,1987,10,11,1989,1993
1451,陈 青,0,汉族,,1960,2,1976,1,1980,2,11,1985,1995
1452,刘昌林,1,汉族,重庆,1962,2,1985,1,1985,1,2,1985,1988
1453,刘昌林,1,汉族,重庆,1962,2,1985,1,1985,2,8,1988,2001
1454,刘昌林,1,汉族,重庆,1962,2,1985,1,1985,8,11,2001,2003
1455,马廷礼,1,回族,宁夏,1963,2,1983,1,1985,9,11,2006,2017
1456,张旭晨,1,汉族,甘肃,1969,3,,1,,9,11,1998,2007
1457,周 伟,1,汉族,,1966,1,1988,1,1993,8,9,1990,2001
1458,张世珍,1,汉族,甘肃,1963,3,1988,0,,6,10,2000,2002
1459,张世珍,1,汉族,甘肃,1963,3,1988,0,,10,11,2002,2008
1460,贠建民,1,汉族,甘肃,1963,0,1983,1,1988,3,7,1989,1996
1461,贠建民,1,汉族,甘肃,1963,0,1983,1,1988,7,11,1996,2000
1462,宋亮,1,汉族,河北,1963,2,1985,1,1990,7,9,1989,2011
1463,宋亮,1,汉族,河北,1963,2,1985,1,1990,9,11,2011,2017
1464,卢小亨,1,汉族,甘肃,1972,2,1993,1,1993,2,3,1993,1999
1465,卢小亨,1,汉族,甘肃,1972,2,1993,1,1993,3,9,1999,2003
1466,卢小亨,1,汉族,甘肃,1972,2,1993,1,1993,9,11,2003,2018
1467,余建,1,汉族,四川,1967,2,1984,1,1988,1,2,1987,1991
1468,余建,1,汉族,四川,1967,2,1984,1,1988,2,7,1991,1992
1469,余建,1,汉族,四川,1967,2,1984,1,1988,7,9,1992,1994
1470,余建,1,汉族,四川,1967,2,1984,1,1988,9,11,1994,2012
1471,谢又生,1,汉族,甘肃,1966,2,,1,,3,11,1996,2002
1472,何伟,0,汉族,甘肃,1964,1,1981,1,1984,2,11,1992,1994
1473,丁巨胜,1,汉族,甘肃,1967,0,1985,1,1988,10,11,1985,2007
1474,唐仁健,1,汉族,重庆,1962,3,1983,1,1991,4,7,1983,1989
1475,唐仁健,1,汉族,重庆,1962,3,1983,1,1991,7,9,1989,1998
1476,唐仁健,1,汉族,重庆,1962,3,1983,1,1991,9,11,1998,2016
1477,张伟文,1,汉族,,1966,2,1990,1,1994,6,9,2001,2017
1478,郭承录,1,汉族,甘肃,1962,3,1980,1,1986,6,7,1985,1992
1479,郭承录,1,汉族,甘肃,1962,3,1980,1,1986,7,11,1992,1994
1480,王军,1,汉族,甘肃,1962,1,1979,1,1984,7,9,1984,2002
1481,王军,1,汉族,甘肃,1962,1,1979,1,1984,9,12,2002,2013
1482,唐晓明,1,汉族,甘肃,1963,0,1983,1,,10,11,1987,1994
1483,柳鹏,1,汉族,,1971,2,1991,1,1994,6,9,1991,2001
1484,柳鹏,1,汉族,,1971,2,1991,1,1994,9,11,2001,2002
1485,宋亮,1,汉族,河北,1963,2,1985,1,1990,7,9,1989,2011
1486,宋亮,1,汉族,河北,1963,2,1985,1,1990,9,11,2011,2017
1487,杨维俊,1,汉族,甘肃,1962,2,1982,1,,6,7,1988,1990
1488,杨维俊,1,汉族,甘肃,1962,2,1982,1,,7,9,1990,2008
1489,吴仰东,1,汉族,甘肃,1963,1,1983,1,1987,2,7,1983,1992
1490,吴仰东,1,汉族,甘肃,1963,1,1983,1,1987,7,9,1992,2001
1491,王立奇,1,汉族,辽宁,1977,2,2003,1,1995,6,7,2003,2005
1492,王立奇,1,汉族,辽宁,1977,2,2003,1,1995,7,9,2005,2015
1493,孙伟,1,汉族,山东,1961,1,1977,1,1988,5,7,1992,1999
1494,孙伟,1,汉族,山东,1961,1,1977,1,1988,7,11,1999,2011
